48-26,23358
42-20-9-58,23119
5-9-58,23096
18-139-9,23120
18-66-9-58,23095
137-31,23071
129-12-13,23055
33-9-58,23025
5-173-9,23045
66-35-20-26,22861
36-48-9,22775
42-7-20-9,22692
36-9-58,22546
36-62-13,22466
90-19-9,22381
33-12-13-58,22284
42-6-66-13,22250
14-12-13-58,22106
5-25-9,22149
33-6-35-20-26,21997
137-188,21962
156-54-101-102,21881
36-12-19-13,21872
42-25-9,21968
153-40,22036
42-13-58,21786
60-19-20-13,21693
47-20-13,21656
10-11-121,21524
47-12-19-13,21512
5-8-9,21478
14-147-48-9,21404
47-43-35-26,21312
14-71-24-9,21246
33-6-40,21216
5-40-59,21182
90-6-9,21172
16-98-99,21092
33-12-35-13,21074
154-5-9,21060
42-66-26,20915
36-66-9,20873
14-20-9-58,20769
14-6-26,20720
42-155-9,20656
36-19-20-9,20546
5-44-9,20575
5-19-20-13,20544
74-43-35-26,20467
54-178-46,20340
74-66-35-26,20167
74-20-13,20035
131-64,19961
103-6-9,19972
14-155-9,19995
14-72-35-9,19952
65-12-20-13,19797
96-19-9,19770
54-119-102,19708
42-48-35-26,19748
18-15-20-9,19710
92-45-46,19647
5-12-48-13,19607
5-133-13,19527
192-89,19375
33-116-9,19344
153-19-13,19354
14-6-12-40,19305
14-71-20-9,19114
14-7-20-9,19054
36-66-26,18980
14-72-68,19038
5-12-43-13,18897
18-15-35-9,18892
33-62-35-26,18884
14-12-44-13,18712
42-44-9,18714
143-96-40,18612
42-12-68,18566
56-119-102,18525
33-35-13,18506
173-26,18673
52-20-9,18452
103-12-9,18406
56-98-99,18336
14-12-110-9,18177
60-9-59,18113
5-122-110-9,18083
237,18071
36-7-20-9,17893
76-14-26,17886
14-84-20-9,17880
33-9-59,17731
145,17729
153-35-26,17716
14-49-20-9,17563
42-20-68,17575
85-45-46,17559
47-7-9,17410
5-63-9,17466
14-8-43-35-26,17412
90-12-15-13,17387
18-69-9,17477
143-96-9,17359
36-19-20-13,17069
16-113-46,16989
14-12-20-9,16958
14-12-8-19-13,16940
47-12-68,16959
14-120-48-9,16882
60-116-128-20-13,16904
57-112-99,16779
14-35-20-26-58,16796
92-101-102,16730
5-66-13,16719
96-24-19-13,16697
65-35-9,16609
18-171-9,16658
90-12-19-13,16502
96-6-9,16495
5-69-9,16553
5-72-9,16555
76-42-26,16455
18-8-9-58,16302
111-42-6-66-13,16284
241,16235
42-147-48-9,16235
42-71-24-9,16224
60-40-58,16181
90-72-9,16208
18-97-9,16179
114-141-142,16066
42-147-72-9,16069
64-119-102,16009
111-42-6-40,16006
129-49-9,15953
18-20-9-59,15921
60-84-66-40,15883
